#;D_factor;Vi_ino;Inoc_type;TS_inoc ;VS_inoc ;T_inoc ;Incuba;Feed;TS_feed;VS_feed;CODt ;T_strategy;T_i ;T_f;OLR_strategy;OLR_level;Mean_OLR;Design_OLR;HRT_i;HRT_f;VFA_high;VFA_SS;Biogas_SS;Methane_SS;Period_t;R_scale;Working volume;Nbr_stages
65;0;;DG;9,9;8,3;mesophilic;YES;OSW;331;314,3;;T_one_step;37;55;Step-wise;2;2,25;3;;;4300;500;3,38;0,57;16;lab;0,8;1
66;0;63;DG;27;19;mesophilic;YES;M;136;122;;T_constant;37;37;Step-wise incremential;5;1,6;2,6;40;40;300;300;;0,26;45;lab;8;1
67;0;63;DG;41;38;mesophilic;YES;M;136;122;;T_constant;37;37;Step-wise incremential;5;1,6;2,6;40;40;3080;205;;0,27;45;lab;8;1
68;0;63;DG;63;44;mesophilic;YES;M;136;122;;T_constant;37;37;Step-wise incremential;5;1,6;2,6;40;40;4135;1490;;0,275;80;lab;8;1
69;0;100;DG;;;mesophilic;YES;SS ;52,25;40,51;;T_one_step;25;55;Dynamic ;4;2,05;2,5;28;16;7000;2500;0,85;0,28;286;pilot/full;15000;1
70;2;50;DG;;;;NO;M;215;149,8;;T_constant;38;38;Constant;1;4;4;37;37;1750;50;1,8;0,25;33;lab;10;1
71;2;50;DG;;;;NO;M;215;149,8;;T_constant;38;38;Constant;1;4;4;37;37;1570;250;1,4;0,25;33;lab;10;1
72;0;94;Sewage sludge;29,24;13,07;;YES;OSW;206,52;195,78;247,876;T_constant;35;35;Dynamic ;2;1,05;1,45;293;187;9909;;;;1000;lab;10;1
73;2;50;DG;;;mesophilic;NO;OSW;206,52;195,78;247,876;T_constant;35;35;Dynamic ;16;0,28;0,93;648;1120;11000;;;;1000;lab;8;1
74;2;50;DG;;;mesophilic;NO;OSW;206,52;195,78;247,876;T_constant;35;35;Dynamic ;16;0,29;0,8;587;1120;11700;;;;1000;lab;8;1
75;2,25;40;DG;;;mesophilic;YES;OSW;206,52;195,78;247,876;T_constant;35;35;Step-wise;8;1,51;2,03;265;148;4000;;;;1000;lab;9,5;1
76;1,3;84;DG;;;mesophilic;NO;OSW;206,52;195,78;247,876;T_constant;35;35;Step-wise;10;1,17;2,03;456;148;6000;;;;1000;lab;9,5;1
77;0;;DG;;;;YES;M;39,3;26,8;;T_one_step;37;50;Constant;1;1;1;90;30;3000;1000;;0,123;116;lab;5,5;1
78;0;;DG;;;;YES;M;39,3;26,8;;T_one_step;37;50;Constant;1;1;1;90;30;2200;1000;;0,123;116;lab;5,5;1
79;0;100;CM;58;46,8;;YES;M;53,7;41;;T_constant;38;38;Step-wise;4;0,88;1,3;100;40;;;0,41;0,221;60;pilot/full;210;1
80;0;;DG;;;;YES;M;200;158,96;;T_constant;30;30;Constant;1;4,96;4,96;32;32;100;100;0,99;0,1;84;lab;5;1
81;0;;DG;;;mesophilic;YES;SS ;25,2;15,9;29,3;T_one_step;37;55;Constant;1;0,8;0,8;20;20;;;0,354;0,259;150;lab;3;1
82;0;;DG;;;mesophilic;YES;SS ;25,2;15,9;29,3;T_one_step;37;55;Constant;1;0,39;0,39;40;40;;;0,227;0,406;150;lab;3;1
83;0;;DG;;;mesophilic;YES;SS ;25,2;15,9;29,3;T_one_step;37;55;Constant;1;0,8;0,8;20;20;;;0,409;0,348;150;lab;3;1
84;0;;DG;;;mesophilic;YES;SS ;25,2;15,9;29,3;T_one_step;37;55;Constant;1;0,39;0,39;40;40;;;0,291;0,531;150;lab;3;1
85;0;100;DG;;;mesophilic;NO;SS ;46,9;33;59,7;T_step-wise ;36;53,3;Constant;1;1,1;1,1;30;30;3000;247,17;0,409;0,238;60;lab;3;1
86;0;50;DG;36,4;22,3;mesophilic;YES;SS ;46,9;33;59,7;T_step-wise ;36;60;Constant;1;1,1;1,1;30;30;7072,7;5350;0,375;;1000;lab;3;1
87;0;67;DG;35,4;21,3;thermophilic;NO;SS ;46,9;33;59,7;T_step-wise ;53,3;60;Constant;1;1,1;1,1;30;30;7900;6500;0,108;;40;lab;3;1
88;0;67;DG;35,4;21,3;thermophilic;NO;SS ;46,9;33;59,7;T_step-wise ;53,3;60;Constant;1;1,1;1,1;30;30;8720,5;7490;0,138;;135;lab;3;1
89;0;;DG;;;mesophilic;YES;SS ;53,19;24,83;;T_one_step;35;55;Constant;1;1,24;1,24;20;20;450;50;0,417;0,249;40;lab;6;1
90;0;;DG;;;;YES;OSW;68,1;64;80,64;T_constant;37;37;Constant;1;1,6;1,6;20;20;2140;2140;;0,2;50;lab;10;1
91;0;100;DG;31,6;21,5;;NO;M;58,3;43,9;51,7;T_constant;30;30;Constant;2;2,26;2,64;20;15;3002,6;600,52;1,25;0,355;180;pilot/full;6000;
92;0;11;Sewage sludge;23,83;8,1;psychrophilic;YES;OSW;13,45;12,46;;T_one_step;37;55;Step-wise;5;3,24;5;2,25;;2700;50;1,6;0,224;25;pilot/full;1500;1
93;0;;Sewage sludge;7,8;3,9;mesophilic;NO;M;62;29;;T_constant;35;35;Constant;1;1;1;60;60;;;0,733;;52;lab;2,5;1
94;0;;Sewage sludge;7,8;3,9;mesophilic;YES;M;62;29;;T_constant;35;35;Constant;1;1;1;60;60;;;0,591;0,469;76;lab;2,5;1
